sample_index,time_ms,temperature_c,temperature_raw_int16,pressure_pa,voltage_v,frame_hex
0,0,25.00,2500,101714,3.600000,AA 55 C4 09 52 8D 01 00 66 66 66 40 0D 0A
1,20,25.31,2531,101761,3.599075,AA 55 E3 09 81 8D 01 00 40 57 66 40 0D 0A
2,40,25.63,2563,101807,3.596307,AA 55 03 0A AF 8D 01 00 E3 29 66 40 0D 0A
3,60,25.94,2594,101853,3.591711,AA 55 22 0A DD 8D 01 00 98 DE 65 40 0D 0A
4,80,26.24,2624,101898,3.585317,AA 55 40 0A 0A 8E 01 00 D5 75 65 40 0D 0A
5,100,26.55,2655,101941,3.577164,AA 55 5F 0A 35 8E 01 00 41 F0 64 40 0D 0A
6,120,26.84,2684,101984,3.567302,AA 55 7C 0A 60 8E 01 00 AD 4E 64 40 0D 0A
7,140,27.13,2713,102025,3.555792,AA 55 99 0A 89 8E 01 00 19 92 63 40 0D 0A
8,160,27.41,2741,102066,3.542705,AA 55 B5 0A B2 8E 01 00 AE BB 62 40 0D 0A
9,180,27.68,2768,102104,3.528122,AA 55 D0 0A D8 8E 01 00 BF CC 61 40 0D 0A
10,200,27.94,2794,102142,3.512132,AA 55 EA 0A FE 8E 01 00 C5 C6 60 40 0D 0A
11,220,28.19,2819,102178,3.494834,AA 55 03 0B 22 8F 01 00 5E AB 5F 40 0D 0A
12,240,28.42,2842,102213,3.476336,AA 55 1A 0B 45 8F 01 00 48 7C 5E 40 0D 0A
13,260,28.64,2864,102246,3.456750,AA 55 30 0B 66 8F 01 00 63 3B 5D 40 0D 0A
14,280,28.85,2885,102277,3.436197,AA 55 45 0B 85 8F 01 00 A7 EA 5B 40 0D 0A
15,300,29.05,2905,102307,3.414805,AA 55 59 0B A3 8F 01 00 2A 8C 5A 40 0D 0A
16,320,29.22,2922,102335,3.392705,AA 55 6A 0B BF 8F 01 00 15 22 59 40 0D 0A
17,340,29.38,2938,102361,3.370034,AA 55 7A 0B D9 8F 01 00 A1 AE 57 40 0D 0A
18,360,29.52,2952,102386,3.346930,AA 55 88 0B F2 8F 01 00 1B 34 56 40 0D 0A
19,380,29.65,2965,102408,3.323538,AA 55 95 0B 08 90 01 00 D8 B4 54 40 0D 0A
20,400,29.76,2976,102429,3.300000,AA 55 A0 0B 1D 90 01 00 33 33 53 40 0D 0A
21,420,29.84,2984,102448,3.276462,AA 55 A8 0B 30 90 01 00 8F B1 51 40 0D 0A
22,440,29.91,2991,102464,3.253070,AA 55 AF 0B 40 90 01 00 4B 32 50 40 0D 0A
23,460,29.96,2996,102479,3.229966,AA 55 B4 0B 4F 90 01 00 C5 B7 4E 40 0D 0A
24,480,29.99,2999,102492,3.207295,AA 55 B7 0B 5C 90 01 00 52 44 4D 40 0D 0A
25,500,30.00,3000,102503,3.185195,AA 55 B8 0B 67 90 01 00 3C DA 4B 40 0D 0A
26,520,29.99,2999,102511,3.163803,AA 55 B7 0B 6F 90 01 00 BF 7B 4A 40 0D 0A
27,540,29.96,2996,102518,3.143250,AA 55 B4 0B 76 90 01 00 04 2B 49 40 0D 0A
28,560,29.91,2991,102522,3.123664,AA 55 AF 0B 7A 90 01 00 1E EA 47 40 0D 0A
29,580,29.84,2984,102525,3.105166,AA 55 A8 0B 7D 90 01 00 08 BB 46 40 0D 0A
30,600,29.76,2976,102525,3.087868,AA 55 A0 0B 7D 90 01 00 A1 9F 45 40 0D 0A
31,620,29.65,2965,102523,3.071878,AA 55 95 0B 7B 90 01 00 A7 99 44 40 0D 0A
32,640,29.52,2952,102519,3.057295,AA 55 88 0B 77 90 01 00 B8 AA 43 40 0D 0A
33,660,29.38,2938,102513,3.044208,AA 55 7A 0B 71 90 01 00 4E D4 42 40 0D 0A
34,680,29.22,2922,102505,3.032698,AA 55 6A 0B 69 90 01 00 BA 17 42 40 0D 0A
35,700,29.05,2905,102495,3.022836,AA 55 59 0B 5F 90 01 00 26 76 41 40 0D 0A
36,720,28.85,2885,102482,3.014683,AA 55 45 0B 52 90 01 00 91 F0 40 40 0D 0A
37,740,28.64,2864,102468,3.008289,AA 55 30 0B 44 90 01 00 CF 87 40 40 0D 0A
38,760,28.42,2842,102452,3.003693,AA 55 1A 0B 34 90 01 00 84 3C 40 40 0D 0A
39,780,28.19,2819,102434,3.000925,AA 55 03 0B 22 90 01 00 27 0F 40 40 0D 0A
40,800,27.94,2794,102413,3.000000,AA 55 EA 0A 0D 90 01 00 00 00 40 40 0D 0A
41,820,27.68,2768,102391,3.000925,AA 55 D0 0A F7 8F 01 00 27 0F 40 40 0D 0A
42,840,27.41,2741,102367,3.003693,AA 55 B5 0A DF 8F 01 00 84 3C 40 40 0D 0A
43,860,27.13,2713,102341,3.008289,AA 55 99 0A C5 8F 01 00 CF 87 40 40 0D 0A
44,880,26.84,2684,102314,3.014683,AA 55 7C 0A AA 8F 01 00 91 F0 40 40 0D 0A
45,900,26.55,2655,102285,3.022836,AA 55 5F 0A 8D 8F 01 00 26 76 41 40 0D 0A
46,920,26.24,2624,102254,3.032698,AA 55 40 0A 6E 8F 01 00 BA 17 42 40 0D 0A
47,940,25.94,2594,102221,3.044208,AA 55 22 0A 4D 8F 01 00 4E D4 42 40 0D 0A
48,960,25.63,2563,102187,3.057295,AA 55 03 0A 2B 8F 01 00 B8 AA 43 40 0D 0A
49,980,25.31,2531,102151,3.071878,AA 55 E3 09 07 8F 01 00 A7 99 44 40 0D 0A
50,1000,25.00,2500,102114,3.087868,AA 55 C4 09 E2 8E 01 00 A1 9F 45 40 0D 0A
51,1020,24.69,2469,102075,3.105166,AA 55 A5 09 BB 8E 01 00 08 BB 46 40 0D 0A
52,1040,24.37,2437,102035,3.123664,AA 55 85 09 93 8E 01 00 1E EA 47 40 0D 0A
53,1060,24.06,2406,101994,3.143250,AA 55 66 09 6A 8E 01 00 04 2B 49 40 0D 0A
54,1080,23.76,2376,101952,3.163803,AA 55 48 09 40 8E 01 00 BF 7B 4A 40 0D 0A
55,1100,23.45,2345,101908,3.185195,AA 55 29 09 14 8E 01 00 3C DA 4B 40 0D 0A
56,1120,23.16,2316,101864,3.207295,AA 55 0C 09 E8 8D 01 00 52 44 4D 40 0D 0A
57,1140,22.87,2287,101819,3.229966,AA 55 EF 08 BB 8D 01 00 C5 B7 4E 40 0D 0A
58,1160,22.59,2259,101772,3.253070,AA 55 D3 08 8C 8D 01 00 4B 32 50 40 0D 0A
